time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.76589652944e-07,-8.27096790476e-08,10.0021727573,6.28292316217,0.000423796088728,0.0,-3.93923788294e-05,-1.37619998148e-05,0.0724227548035,-0.0149769424682,0.0183761968478,0.0,427.31386841288185,428.8771408788678,428.6626131542648,427.38831922351125
0.12000000000000001,-1.53649793902e-05,-9.07672314656e-06,10.0088611287,6.28239313676,0.00147404635305,0.0,-0.000563256319263,-0.000354418387002,0.150515115484,0.00125659975929,0.0157005791586,0.0,430.3094457883812,430.08286826304726,428.92261590837916,430.29890827376636
0.18,-8.18767120318e-05,-4.5316672963e-05,10.0196056881,6.28258705445,0.00305189674677,0.0,-0.00177974765789,-0.000840436410868,0.207627464118,0.00691600818922,0.0418087963746,0.0,421.2733958777858,423.5246896482509,423.5677979809663,424.0540819505238
0.23999999999999996,-0.00026360331178,-0.000106855709808,10.0355544001,6.28273025743,0.00602592114576,0.0,-0.00456745696012,-0.00117958108982,0.323968608287,-0.00870638285223,0.0617615105263,0.0,441.1183076916629,442.7641068218922,442.934104838786,441.6476510006268
0.3,-0.000665536104891,-0.000188154069922,10.0563954063,6.28182908761,0.0096352217667,0.0,-0.00917466287442,-0.00159299222097,0.370714638854,-0.0322730139962,0.0567327743803,0.0,420.15843069132677,419.7250849478733,420.661063817257,418.61571610096934
0.36000000000000004,-0.00148325425835,-0.000328417400096,10.0870218452,6.2795291392,0.0128948923122,0.0,-0.0185104090853,-0.0033492151923,0.650044526386,-0.0546027391218,0.0490248505696,0.0,490.46238579189554,489.89133011941175,492.0710759900965,490.4148689014268
0.4200000000000001,-0.00292098045271,-0.00063156869293,10.1326291059,6.27700896111,0.0164816129361,0.0,-0.0298098412314,-0.00709321830795,0.870048575873,-0.0244074396058,0.0754568539562,0.0,472.4167159597337,474.452287305989,473.28031131005,475.5972665101553
0.48000000000000015,-0.00505426756234,-0.00118547412168,10.1870762113,6.27515359989,0.0206914126972,0.0,-0.0417309306821,-0.0115280228894,0.944786679254,-0.048982797668,0.0566287452356,0.0,430.42521754544276,428.83289079891756,430.6785790195396,428.5947266831817
0.5400000000000001,-0.0080813852632,-0.00208749472875,10.2506476815,6.27233845306,0.0238769197239,0.0,-0.0595687928283,-0.0188856301967,1.1740428682,-0.0430830699821,0.0448681951791,0.0,477.9144141247387,477.01890789166066,476.5683435306037,477.01786016727584
0.6000000000000002,-0.0122719379893,-0.00350646777509,10.3286599213,6.26952754216,0.0273321548113,0.0,-0.0805018774073,-0.0287444103857,1.42607080193,-0.0557041072431,0.0752999663237,0.0,482.6741245779863,484.96690225517955,485.03017331732,484.0803291156967
0.6600000000000003,-0.0177325045135,-0.00555066705768,10.4189402497,6.26590907285,0.0315954024597,0.0,-0.101998211782,-0.0397744185837,1.58304819456,-0.0716219648797,0.0608204781909,0.0,456.58918571899756,455.43633302910746,458.0866998345002,456.8167246897714
0.7200000000000003,-0.0245314260539,-0.00831725636894,10.5172926678,6.26131250039,0.0352247615716,0.0,-0.125005373226,-0.0529009759435,1.69518314259,-0.0891330182156,0.0598189391248,0.0,442.27973160129045,442.1998597916363,445.19637541194237,443.7565945448664
0.7800000000000004,-0.0329641029341,-0.0120850012221,10.6273037952,6.25571693352,0.0387055860264,0.0,-0.156521696634,-0.0733787236179,1.97138400434,-0.10314051033,0.0541357708498,0.0,492.4427484371055,492.02418088196146,493.4069364496752,492.3652775218256
0.8400000000000004,-0.0431076287707,-0.0170342419063,10.7470430411,6.25003922236,0.0416681448297,0.0,-0.181888260442,-0.0921493118819,2.01980814493,-0.0815133628776,0.0375745886363,0.0,425.26654958911575,423.8472802445909,423.2355121894416,425.0843856004671
0.9000000000000005,-0.0551022547331,-0.0234364494527,10.8762299293,6.2456369851,0.0437649498823,0.0,-0.218188680413,-0.121823772082,2.28589091248,-0.0607021898202,0.0290927519408,0.0,490.7025048578269,490.07289267547776,490.6415696796289,492.1803386767633
0.9600000000000005,-0.0693866289356,-0.0317787494716,11.0227327685,6.24195334949,0.0456076396279,0.0,-0.258168389963,-0.156715179314,2.59684721609,-0.0628139364501,0.0337664224318,0.0,503.7076424459539,504.0456932027995,505.2642823546593,505.1098198986967
1.0200000000000005,-0.0858750235853,-0.0420897653057,11.1825430456,6.23867063133,0.0476517309601,0.0,-0.291649125816,-0.187344919648,2.72982001219,-0.0420919582651,0.0346648697402,0.0,454.44555148342334,454.51800852920303,452.9121998911071,454.57366154687924
1.0800000000000005,-0.104214563957,-0.0541156705049,11.3461127895,6.23583886484,0.0500528658462,0.0,-0.319865476831,-0.213747505783,2.72249489474,-0.0601038935152,0.0490096958875,0.0,408.72755140584496,410.0049587809863,410.39462557957074,408.7910832517324
1.1400000000000006,-0.124571756189,-0.0680428925008,11.5147514967,6.23265978294,0.0533651009015,0.0,-0.359043588473,-0.250852591545,2.89831727193,-0.0416033123463,0.0653602708328,0.0,466.22381795567946,467.5013909071452,468.1225636010966,469.55816676052945
1.2000000000000006,-0.147341241999,-0.0842478086919,11.693592272,6.23018038763,0.0570141221051,0.0,-0.400341908117,-0.289565928324,3.06256408657,-0.0407690921128,0.0496883826674,0.0,466.6232763043567,465.4006469186828,464.70268614959144,464.76724970295527
